,id,name,symbol,category,description,slug,logo,official_website,white_paper,price,date_added,tags,volume_24h,volume_change_24h,last_updated,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,buy_percentage,sell_percentage,transaction_frequency,retention_days,key_metrics,profile_id,is_positive_change
0,1.0,Bitcoin,BTC,coin,"Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,787,775. The last known price of Bitcoin is 93,843.11194483 USD and is down -1.34 over the last 24 hours. It is currently trading on 11808 active market(s) with $95,296,195,383.73 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",bitcoin,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,https://bitcoin.org/bitcoin.pdf,https://bitcoin.org/bitcoin.pdf,93672.99698174394,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",95188127155.6253,44.0772,2024-11-26T17:44:00.000Z,-0.95219762,-1.41575916,0.88295769,38.19145062,42.47956232,58.63211382,1853580187850.4282,57.9072,1967132936616.62,0.5276624717951545,0.4723375282048456,50000.0,3.0,"[{'tag': 'Market cap', 'value': 1.85, 'sign': 'T'}, {'tag': 'Trading volume', 'value': 95.19, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.5276624717951545, 'sign': '%'}, {'tag': 'Sell', 'value': 0.4723375282048456, 'sign': '%'}]",crypto_btc,0.0
1,2.0,Litecoin,LTC,coin,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 84,000,000 with 75,239,187.05410936 in circulation. The last known price of Litecoin is 91.53672003 USD and is down -2.71 over the last 24 hours. It is currently trading on 1273 active market(s) with $927,674,655.65 traded over the last 24 hours. More information can be found at https://litecoin.org/.",litecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,__nan__,,91.38824531025344,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",926013031.5144264,-6.6817,2024-11-26T17:44:00.000Z,-0.6989258,-2.61356087,4.82689013,28.99993772,30.26191977,50.02106846,6875984137.56339,0.2147,7676612606.06,0.5033649854555095,0.49663501454449066,50000.0,3.0,"[{'tag': 'Market cap', 'value': 6.88, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 926.01, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5033649854555095, 'sign': '%'}, {'tag': 'Sell', 'value': 0.49663501454449066, 'sign': '%'}]",crypto_ltc,False
2,52.0,XRP,XRP,coin,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,986,987,365 with 56,998,852,241 in circulation. The last known price of XRP is 1.38487755 USD and is down -3.78 over the last 24 hours. It is currently trading on 1438 active market(s) with $9,985,881,438.11 traded over the last 24 hours. More information can be found at https://xrpl.org/.",xrp,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,https://ripple.com/files/ripple_consensus_whitepaper.pdf,https://ripple.com/files/ripple_consensus_whitepaper.pdf,1.3807912994283016,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",9966795705.16342,-15.0329,2024-11-26T17:44:00.000Z,-0.61043879,-3.82412276,25.63916282,167.67520933,135.11205617,141.3439466,78703519251.77216,2.4551,138079129942.83,0.5481958533683522,0.4518041466316479,50000.0,3.0,"[{'tag': 'Market cap', 'value': 78.7, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 9.97, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.5481958533683522, 'sign': '%'}, {'tag': 'Sell', 'value': 0.4518041466316479, 'sign': '%'}]",crypto_xrp,False
3,74.0,Dogecoin,DOGE,coin,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 146,954,076,383.70523. The last known price of Dogecoin is 0.38793583 USD and is down -3.19 over the last 24 hours. It is currently trading on 1112 active market(s) with $9,966,463,223.28 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",dogecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,https://github.com/dogecoin/dogecoin/blob/master/README.md,https://github.com/dogecoin/dogecoin/blob/master/README.md,0.3868183364457427,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",9910245200.422876,6.6199,2024-11-26T17:44:00.000Z,-0.44440778,-3.30360349,-3.47742428,170.70993914,212.69081948,288.92201093,56844655142.53311,1.7746,56844655142.53,0.5948905725849537,0.40510942741504624,50000.0,3.0,"[{'tag': 'Market cap', 'value': 56.84, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 9.91, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.5948905725849537, 'sign': '%'}, {'tag': 'Sell', 'value': 0.40510942741504624, 'sign': '%'}]",crypto_doge,False
4,328.0,Monero,XMR,coin,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 18,446,744.07370955. The last known price of Monero is 155.93650387 USD and is down -3.00 over the last 24 hours. It is currently trading on 302 active market(s) with $84,884,277.80 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",monero,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf,https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf,155.83599614474323,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",84740961.6043569,7.4102,2024-11-26T17:44:00.000Z,-0.89109065,-2.94165845,-4.18535177,-3.78494343,-4.52192983,-0.95580695,2874666738.353667,0.0897,2874666738.35,0.3794145193084541,0.6205854806915458,7175.0,3.0,"[{'tag': 'Market cap', 'value': 2.87, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 84.74, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.3794145193084541, 'sign': '%'}, {'tag': 'Sell', 'value': 0.6205854806915458, 'sign': '%'}]",crypto_xmr,False
5,512.0,Stellar,XLM,coin,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,786,911.16305 with 30,036,369,706.56988 in circulation. The last known price of Stellar is 0.44837066 USD and is down -12.15 over the last 24 hours. It is currently trading on 637 active market(s) with $3,638,423,034.03 traded over the last 24 hours. More information can be found at https://www.stellar.org.",stellar,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,https://www.stellar.org/papers/stellar-consensus-protocol.pdf,https://www.stellar.org/papers/stellar-consensus-protocol.pdf,0.44643044524721,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio']",3634802223.0940957,-42.06,2024-11-26T17:44:00.000Z,-2.7661283,-12.3648286,91.79668151,375.16598715,354.63414545,382.75266118,13409149885.866123,0.4189,22322328878.25,0.5780087855353879,0.42199121446461213,50000.0,3.0,"[{'tag': 'Market cap', 'value': 13.41, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 3.63, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.5780087855353879, 'sign': '%'}, {'tag': 'Sell', 'value': 0.42199121446461213, 'sign': '%'}]",crypto_xlm,False
6,825.0,Tether USDt,USDT,token,"Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 135,944,368,167.21449224 with 132,744,005,559.75016871 in circulation. The last known price of Tether USDt is 1.00031924 USD and is up 0.03 over the last 24 hours. It is currently trading on 105346 active market(s) with $190,203,245,978.08 traded over the last 24 hours. More information can be found at https://tether.to.",tether,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,https://tether.to/wp-content/uploads/2016/06/TetherWhitePaper.pdf,https://tether.to/wp-content/uploads/2016/06/TetherWhitePaper.pdf,1.0002794425275268,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",189852504254.34637,8.9357,2024-11-26T17:44:00.000Z,-0.02100211,0.02580023,-0.05765932,0.11705675,0.01548563,0.01625015,132781099880.17781,4.1482,135982356805.06,0.4574809642855395,0.5425190357144605,50000.0,3.0,"[{'tag': 'Market cap', 'value': 132.78, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 189.85, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.4574809642855395, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5425190357144605, 'sign': '%'}]",crypto_usdt,True
7,1027.0,Ethereum,ETH,coin,"Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,433,832.8640161. The last known price of Ethereum is 3,325.49326901 USD and is down -3.26 over the last 24 hours. It is currently trading on 9593 active market(s) with $44,042,759,295.66 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",ethereum,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,https://github.com/ethereum/wiki/wiki/White-Paper,https://github.com/ethereum/wiki/wiki/White-Paper,3320.8963721802324,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",43926204112.7468,2.0211,2024-11-26T17:44:00.000Z,-0.45044242,-3.26296476,6.29743598,32.8674468,23.40894302,31.76928692,399948278645.8715,12.4856,399948278645.87,0.4683210358854711,0.5316789641145288,50000.0,3.0,"[{'tag': 'Market cap', 'value': 399.95, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 43.93, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.4683210358854711, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5316789641145288, 'sign': '%'}]",crypto_eth,False
8,1321.0,Ethereum Classic,ETC,coin,"Ethereum Classic (ETC) is a cryptocurrency launched in 2015. Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 210,700,000 with 149,705,292.4469778 in circulation. The last known price of Ethereum Classic is 28.29644099 USD and is down -7.99 over the last 24 hours. It is currently trading on 576 active market(s) with $592,436,336.27 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",ethereum-classic,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,https://ethereumclassic.org/knowledge/foundation,https://ethereumclassic.org/knowledge/foundation,28.249066760145784,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']",591488665.1577238,-41.882,2024-11-26T17:44:00.000Z,-0.70855865,-7.86084345,7.38329369,53.27174505,36.1488412,52.604877,4229051001.6346073,0.1321,5952078366.36,0.5326001157334276,0.46739988426657236,22957.0,3.0,"[{'tag': 'Market cap', 'value': 4.23, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 591.49, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5326001157334276, 'sign': '%'}, {'tag': 'Sell', 'value': 0.46739988426657236, 'sign': '%'}]",crypto_etc,False
9,1518.0,Maker,MKR,token,"Maker (MKR) is a cryptocurrency and operates on the Ethereum platform. Maker has a current supply of 915,457.94213039 with 885,252.76590659 in circulation. The last known price of Maker is 1,729.6651788 USD and is down -8.96 over the last 24 hours. It is currently trading on 522 active market(s) with $155,624,148.65 traded over the last 24 hours. More information can be found at https://makerdao.com/.",maker,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,https://makerdao.com/en/whitepaper/#overview-of-the-dai-stablecoin-system,https://makerdao.com/en/whitepaper/#overview-of-the-dai-stablecoin-system,1725.0387293150134,2017-01-29T00:00:00.000Z,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'bnb-chain', 'real-world-assets', 'standard-crypto-portfolio']",154693893.5283457,-41.0255,2024-11-26T17:44:00.000Z,-1.14950901,-8.61167515,14.41596998,56.61398232,2.10655115,-5.57653004,1527109385.025296,0.0476,1734659270.31,0.5684067269084448,0.43159327309155515,24982.0,3.0,"[{'tag': 'Market cap', 'value': 1.53, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 154.69, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5684067269084448, 'sign': '%'}, {'tag': 'Sell', 'value': 0.43159327309155515, 'sign': '%'}]",crypto_mkr,False
10,1765.0,EOS,EOS,coin,"EOS (EOS) is a cryptocurrency . EOS has a current supply of 2,100,000,000 with 1,529,858,863.3035 in circulation. The last known price of EOS is 0.79238007 USD and is down -2.09 over the last 24 hours. It is currently trading on 718 active market(s) with $366,684,130.30 traded over the last 24 hours. More information can be found at https://eosnetwork.com/.",eos,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,https://eosnetwork.com/blog/category/eos-blue-papers/,https://eosnetwork.com/blog/category/eos-blue-papers/,0.7897695392922708,2017-07-01T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'smart-contracts', 'eos', 'fenbushi-capital-portfolio', 'galaxy-digital-portfolio', 'dwf-labs-portfolio']",366290698.9149097,-4.1495,2024-11-26T17:44:00.000Z,-0.92696128,-2.15310831,21.0390552,75.09802904,45.62148295,62.54442055,1208235929.6534023,0.0377,1658516032.51,0.4396561293109234,0.5603438706890767,6736.0,3.0,"[{'tag': 'Market cap', 'value': 1.21, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 366.29, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.4396561293109234, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5603438706890767, 'sign': '%'}]",crypto_eos,False
11,1831.0,Bitcoin Cash,BCH,coin,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 19,793,675. The last known price of Bitcoin Cash is 495.50887673 USD and is down -1.27 over the last 24 hours. It is currently trading on 952 active market(s) with $726,548,636.31 traded over the last 24 hours. More information can be found at http://bch.info.",bitcoin-cash,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,__nan__,,494.39610721204485,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",724691099.7237266,-20.8308,2024-11-26T17:44:00.000Z,-0.28308461,-1.21487352,9.88255952,40.87438955,37.51894195,53.56301696,9785925137.347382,0.3057,10382318251.45,0.5730933537691215,0.4269066462308785,46690.0,3.0,"[{'tag': 'Market cap', 'value': 9.79, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 724.69, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5730933537691215, 'sign': '%'}, {'tag': 'Sell', 'value': 0.4269066462308785, 'sign': '%'}]",crypto_bch,False
12,1839.0,BNB,BNB,coin,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 144,010,157.91. The last known price of BNB is 618.03597729 USD and is down -3.55 over the last 24 hours. It is currently trading on 2290 active market(s) with $2,648,447,306.57 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.",bnb,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,__nan__,,617.1906049178226,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",2644858512.0264754,-3.555,2024-11-26T17:44:00.000Z,-0.47924845,-3.59116617,0.11912651,4.97128972,1.43126317,15.58845012,88881715370.01288,2.7767,88881715370.01,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 88.88, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 2.64, 'sign': 'B'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_bnb,False
13,1958.0,TRON,TRX,coin,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 86,330,327,132.831365 with 86,330,311,861.856315 in circulation. The last known price of TRON is 0.19308964 USD and is down -2.14 over the last 24 hours. It is currently trading on 1072 active market(s) with $1,316,756,815.85 traded over the last 24 hours. More information can be found at https://trondao.org/.",tron,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,https://developers.tron.network/docs,https://developers.tron.network/docs,0.19298302295940456,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",1313745242.7869284,13.7584,2024-11-26T17:44:00.000Z,0.01861992,-1.97360055,-4.91186494,16.96684999,24.40921571,22.38266847,16660253545.01244,0.5205,16660259278.3,0.4522529443359999,0.5477470556640001,5214,3.0,"[{'tag': 'Market cap', 'value': 16.66, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 1.31, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.4522529443359999, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5477470556640001, 'sign': '%'}]",crypto_trx,False
14,1966.0,Decentraland,MANA,token,"Decentraland (MANA) is a cryptocurrency and operates on the Ethereum platform. Decentraland has a current supply of 2,193,179,327.32014624 with 1,942,255,184.11304921 in circulation. The last known price of Decentraland is 0.58766259 USD and is down -8.26 over the last 24 hours. It is currently trading on 539 active market(s) with $366,324,498.95 traded over the last 24 hours. More information can be found at https://decentraland.org/.",decentraland,https://s2.coinmarketcap.com/static/img/coins/64x64/1966.png,https://decentraland.org/whitepaper.pdf,https://decentraland.org/whitepaper.pdf,0.5867771223072342,2017-09-17T00:00:00.000Z,"['platform', 'collectibles-nfts', 'gaming', 'payments', 'metaverse', 'boostvc-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'polygon-ecosystem', 'play-to-earn', 'sec-security-token', 'alleged-sec-securities']",364604637.8470042,-71.9502,2024-11-26T17:44:00.000Z,-0.63518731,-8.1292131,43.60630531,99.64353061,76.60390371,112.65273507,1139670907.7201624,0.0356,1286907454.39,0.5306497701921676,0.46935022980783236,23358,3.0,"[{'tag': 'Market cap', 'value': 1.14, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 364.6, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5306497701921676, 'sign': '%'}, {'tag': 'Sell', 'value': 0.46935022980783236, 'sign': '%'}]",crypto_mana,False
15,1975.0,Chainlink,LINK,token,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 626,849,970.45278671 in circulation. The last known price of Chainlink is 17.20842382 USD and is down -4.07 over the last 24 hours. It is currently trading on 1882 active market(s) with $940,584,589.81 traded over the last 24 hours. More information can be found at https://chain.link/.",chainlink,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,https://chain.link/whitepaper,https://chain.link/whitepaper,17.15455034230739,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",937082605.9964392,-26.9251,2024-11-26T17:44:00.000Z,-0.85290223,-4.09025544,16.05528418,54.67114805,35.37435954,50.62805919,10753329375.20623,0.3354,17154550342.31,0.5054943680635724,0.49450563193642755,50000,3.0,"[{'tag': 'Market cap', 'value': 10.75, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 937.08, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5054943680635724, 'sign': '%'}, {'tag': 'Sell', 'value': 0.49450563193642755, 'sign': '%'}]",crypto_link,False
16,2010.0,Cardano,ADA,coin,"Cardano (ADA) is a cryptocurrency launched in 2017. Cardano has a current supply of 44,994,851,307.903442 with 35,073,778,164.292411 in circulation. The last known price of Cardano is 0.92913417 USD and is down -6.33 over the last 24 hours. It is currently trading on 1372 active market(s) with $3,008,319,476.04 traded over the last 24 hours. More information can be found at https://www.cardano.org.",cardano,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,https://docs.cardano.org/en/latest/,https://docs.cardano.org/en/latest/,0.9262998522625108,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",3002408373.7392626,-8.0181,2024-11-26T17:44:00.000Z,-1.51585831,-6.26478155,26.0219928,171.80099282,129.87174302,164.00030312,32488835531.87214,1.015,41683493351.81,0.5239433569456862,0.4760566430543139,50000,3.0,"[{'tag': 'Market cap', 'value': 32.49, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 3.0, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.5239433569456862, 'sign': '%'}, {'tag': 'Sell', 'value': 0.4760566430543139, 'sign': '%'}]",crypto_ada,False
17,2011.0,Tezos,XTZ,coin,"Tezos (XTZ) is a cryptocurrency . Tezos has a current supply of 1,035,316,317.31614 with 1,014,830,532.935373 in circulation. The last known price of Tezos is 1.17151281 USD and is down -7.05 over the last 24 hours. It is currently trading on 409 active market(s) with $156,820,994.48 traded over the last 24 hours. More information can be found at https://www.tezos.com/.",tezos,https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png,https://tezos.com/whitepaper.pdf,https://tezos.com/whitepaper.pdf,1.170282492275966,2017-10-06T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'collectibles-nfts', 'defi', 'smart-contracts', 'polychain-capital-portfolio', 'boostvc-portfolio', 'winklevoss-capital-portfolio', 'layer-1']",156651526.09786192,-45.7659,2024-11-26T17:44:00.000Z,-0.94416319,-6.97614386,11.70680786,82.88314262,56.16865599,75.19915029,1187640815.6010005,0.0371,1211614970.4,0.5981108804134995,0.40188911958650053,34720,3.0,"[{'tag': 'Market cap', 'value': 1.19, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 156.65, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.5981108804134995, 'sign': '%'}, {'tag': 'Sell', 'value': 0.40188911958650053, 'sign': '%'}]",crypto_xtz,False
18,2087.0,KuCoin Token,KCS,token,"KuCoin Token (KCS) is a cryptocurrency and operates on the Ethereum platform. KuCoin Token has a current supply of 142,757,114.14607974 with 120,257,114.14607974 in circulation. The last known price of KuCoin Token is 11.26614794 USD and is down -2.12 over the last 24 hours. It is currently trading on 51 active market(s) with $1,563,983.52 traded over the last 24 hours. More information can be found at https://www.kucoin.com/.",kucoin-token,https://s2.coinmarketcap.com/static/img/coins/64x64/2087.png,https://www.kcs.foundation/kcs-whitepaper.pdf,https://www.kcs.foundation/kcs-whitepaper.pdf,11.255367797458794,2017-10-24T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token']",1558584.37529682,-11.0147,2024-11-26T17:44:00.000Z,0.04768191,-2.194413,3.40780811,26.56838929,37.86932401,37.32007488,1353538049.9751122,0.0423,2251073559.49,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 1.35, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 1.56, 'sign': 'M'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_kcs,False
19,2280.0,Filecoin,FIL,coin,"Filecoin (FIL) is a cryptocurrency launched in 2020. Users are able to generate FIL through the process of mining. Filecoin has a current supply of 1,959,842,601 with 602,612,187 in circulation. The last known price of Filecoin is 5.3848379 USD and is down -2.29 over the last 24 hours. It is currently trading on 541 active market(s) with $703,636,251.12 traded over the last 24 hours. More information can be found at https://filecoin.io/.",filecoin,https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png,https://docs.filecoin.io/,https://docs.filecoin.io/,5.369265552678951,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'filecoin-ecosystem', 'sec-security-token', 'alleged-sec-securities', 'depin']",701852937.4212364,-10.8156,2024-11-26T17:44:00.000Z,-1.00829726,-2.32212831,20.86810673,52.53967255,28.84864786,47.02584056,3235602812.1076345,0.1009,10522915210.51,0.6897586683714602,0.3102413316285398,32621,3.0,"[{'tag': 'Market cap', 'value': 3.24, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 701.85, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.6897586683714602, 'sign': '%'}, {'tag': 'Sell', 'value': 0.3102413316285398, 'sign': '%'}]",crypto_fil,False
